state,party
Maine,Lean Dem
New Hampshire,Competitive
Vermont,Solid Dem
Massachusetts,Solid Dem
Rhode Island,Solid Dem
Connecticut,Solid Dem
New York,Solid Dem
New Jersey,Solid Dem
Pennsylvania,Competitive
Maryland,Solid Dem
Delaware,Solid Dem
West Virginia,Competitive
Ohio,Competitive
Michigan,Lean Dem
Indiana,Competitive
Illinois,Solid Dem
Wisconsin,Competitive
Minnesota,Solid Dem
Iowa,Competitive
Missouri,Lean Rep
North Dakota,Solid Rep
South Dakota,Solid Rep
Nebraska,Solid Rep
Kansas,Solid Rep
Virginia,Lean Dem
North Carolina,Competitive
South Carolina,Solid Rep
Georgia,Competitive
Florida,Competitive
Kentucky,Competitive
Tennessee,Solid Rep
Alabama,Solid Rep
Mississippi,Lean Rep
Arkansas,Lean Rep
Louisiana,Competitive
Oklahoma,Solid Rep
Texas,Competitive
Montana,Solid Rep
Arizona,Competitive
Colorado,Lean Dem
Idaho,Solid Rep
Wyoming,Solid Rep
Utah,Solid Rep
Nevada,Competitive
New Mexico,Solid Dem
California,Solid Dem
Oregon,Solid Dem
Washington,Solid Dem
Hawaii,Solid Dem
Alaska,Solid Rep
District of Columbia,Solid Dem
